id,title,author,genre,language,publicationYear,publisher,pageCount,tags,rating_average,most_popular_country,bestseller_status,awards,age_category,adapted_to_movie,movie_release_year
34,Life of Pi,Yann Martel,Adventure,English,2001,Knopf Canada,319,"survival,philosophy,animals",3.92,Canada,True,Man Booker Prize,Adult,True,2012
35,The Giver,Lois Lowry,Dystopian,English,1993,Houghton Mifflin,208,"society,memory,future",4.13,USA,True,Newbery Medal,Young Adult,True,2014
36,Twilight,Stephenie Meyer,Romance,English,2005,"Little, Brown",498,"vampires,love,teen",3.6,USA,True,Kids' Choice Award,Young Adult,True,2008
37,Of Mice and Men,John Steinbeck,Tragedy,English,1937,Covici Friede,107,"friendship,depression,classic",3.89,USA,True,None,Adult,True,1992
38,The Secret Garden,Frances Hodgson Burnett,Children's Fiction,English,1911,Frederick A. Stokes,331,"nature,healing,classic",4.15,UK,True,None,Children,True,1993
39,Moby-Dick,Herman Melville,Adventure,English,1851,Harper & Brothers,635,"sea,whale,classic,obsession",3.5,USA,True,None,Adult,True,1956
40,A Tale of Two Cities,Charles Dickens,Historical Fiction,English,1859,Chapman & Hall,489,"history,war,romance,classic",3.85,UK,True,None,Adult,True,1935
41,Lord of the Flies,William Golding,Allegory,English,1954,Faber and Faber,224,"classic,survival,society,psychology",3.69,UK,True,Nobel Prize,Young Adult,True,1963
42,A Game of Thrones,George R.R. Martin,Fantasy,English,1996,Bantam Spectra,835,"epic,politics,dragons,war",4.44,USA,True,Locus Award,Adult,True,2011
43,The Godfather,Mario Puzo,Crime,English,1969,G. P. Putnam's Sons,448,"mafia,crime,family,italy",4.37,USA,True,None,Adult,True,1972
44,Divergent,Veronica Roth,Dystopian,English,2011,Katherine Tegen Books,487,"action,romance,society",4.15,USA,True,Goodreads Choice Award,Young Adult,True,2014
45,A Clockwork Orange,Anthony Burgess,Dystopian,English,1962,William Heinemann,192,"violence,classic,satire",3.99,UK,True,None,Adult,True,1971
46,Dracula,Bram Stoker,Gothic Horror,English,1897,Archibald Constable,418,"vampires,horror,classic",4.01,UK,True,None,Adult,True,1931
47,The Maze Runner,James Dashner,Sci-Fi,English,2009,Delacorte Press,375,"mystery,survival,action",4.04,USA,True,None,Young Adult,True,2014
48,The Martian,Andy Weir,Sci-Fi,English,2011,Crown Publishing,369,"science,space,survival,humor",4.41,USA,True,Seiun Award,Adult,True,2015
49,Into the Wild,Jon Krakauer,Biography,English,1996,Villard,224,"travel,nature,tragedy,nonfiction",4.0,USA,True,None,Adult,True,2007
50,The Outsiders,S.E. Hinton,Coming-of-age,English,1967,Viking Press,192,"gangs,teen,friendship,classic",4.1,USA,True,New York Herald Tribune Best Teenage Book,Young Adult,True,1983
51,Ready Player One,Ernest Cline,Sci-Fi,English,2011,Random House,374,"gaming,80s,adventure",4.23,USA,True,Prometheus Award,Young Adult,True,2018
52,The Girl on the Train,Paula Hawkins,Thriller,English,2015,Riverhead Books,323,"mystery,crime,alcoholism",3.96,UK,True,Goodreads Choice Award,Adult,True,2016
53,Water for Elephants,Sara Gruen,Historical Fiction,English,2006,Algonquin Books,335,"circus,animals,romance",4.1,Canada,True,Book Sense Book of the Year,Adult,True,2011
54,Memoirs of a Geisha,Arthur Golden,Historical Fiction,English,1997,Knopf,448,"japan,culture,romance",4.14,USA,True,None,Adult,True,2005
55,Fight Club,Chuck Palahniuk,Satire,English,1996,W. W. Norton,218,"anarchy,psychology,violence",4.19,USA,True,Pacific Northwest Booksellers Award,Adult,True,1999
56,American Psycho,Bret Easton Ellis,Horror,English,1991,Vintage,399,"crime,satire,psychology",3.8,USA,True,None,Adult,True,2000
57,The Road,Cormac McCarthy,Post-Apocalyptic,English,2006,Knopf,287,"survival,dark,fatherhood",3.99,USA,True,Pulitzer Prize,Adult,True,2009
58,Room,Emma Donoghue,Drama,English,2010,"Little, Brown",321,"kidnap,family,psychology",4.08,Canada,True,Rogers Writers' Trust Fiction Prize,Adult,True,2015
59,The Help,Kathryn Stockett,Historical Fiction,English,2009,Putnam,464,"racism,civil rights,friendship",4.47,USA,True,Boeke Prize,Adult,True,2011
60,The Lovely Bones,Alice Sebold,Fantasy,English,2002,"Little, Brown",328,"crime,death,family,ghosts",3.85,USA,True,Bram Stoker Award,Adult,True,2009
61,The Old Man and the Sea,Ernest Hemingway,Literary Fiction,English,1952,Charles Scribner's Sons,127,"fishing,struggle,classic",4.3,USA,True,"Pulitzer Prize,Nobel Prize",Adult,True,1958
62,One Hundred Years of Solitude,Gabriel García Márquez,Magical Realism,English,1967,Harper & Row,417,"family,magic,colombia,classic",4.1,Colombia,True,Nobel Prize,Adult,False,1998
64,Catch-22,Joseph Heller,Satire,English,1961,Simon & Schuster,453,"war,humor,absurdism",3.98,USA,True,None,Adult,True,1970
65,Great Expectations,Charles Dickens,Coming-of-age,English,1861,Chapman & Hall,505,"classic,love,class,london",3.79,UK,True,None,Adult,True,1946
66,The Bell Jar,Sylvia Plath,Semi-autobiographical,English,1963,Heinemann,244,"depression,feminism,mental health",4.03,USA,True,None,Adult,True,1979
67,Slaughterhouse-Five,Kurt Vonnegut,Sci-Fi,English,1969,Delacorte,275,"war,time travel,satire",4.1,USA,True,None,Adult,True,1972
68,Atonement,Ian McEwan,Drama,English,2001,Jonathan Cape,371,"war,love,betrayal,writing",3.93,UK,True,Booker Prize Shortlist,Adult,True,2007
69,The Color Purple,Alice Walker,Epistolary,English,1982,Harcourt Brace,295,"racism,feminism,history",4.24,USA,True,"Pulitzer Prize,National Book Award",Adult,True,1985
70,Dune,Frank Herbert,Sci-Fi,English,1965,Chilton Books,658,"space,politics,ecology,epic",4.26,USA,True,"Hugo,Nebula",Adult,True,2021
71,Anna Karenina,Leo Tolstoy,Romance,English,1877,The Russian Messenger,964,"russia,classic,love,tragedy",4.08,Russia,True,None,Adult,True,2012
73,The Secret History,Donna Tartt,Dark Academia,English,1992,Knopf,559,"mystery,college,obsession",4.15,USA,True,None,Adult,False,1998
74,Things Fall Apart,Chinua Achebe,Historical Fiction,English,1958,Heinemann,209,"africa,history,tragedy",3.7,Nigeria,True,None,Adult,False,1998
75,Crime and Punishment,Fyodor Dostoevsky,Psychological Fiction,English,1866,The Russian Messenger,671,"philosophy,crime,classic,russia",4.25,Russia,True,None,Adult,True,2002
76,The Perks of Being a Wallflower,Stephen Chbosky,Coming-of-age,English,1999,MTV Books,213,"teen,mental health,friendship",4.22,USA,True,None,Young Adult,True,2012
77,Coraline,Neil Gaiman,Dark Fantasy,English,2002,HarperCollins,162,"horror,magic,kids",4.1,UK,True,"Hugo,Nebula",Children,True,2009
78,Matilda,Roald Dahl,Children's Fiction,English,1988,Jonathan Cape,240,"magic,school,humor",4.33,UK,True,Children's Book Award,Children,True,1996
79,Ender's Game,Orson Scott Card,Sci-Fi,English,1985,Tor Books,324,"space,war,strategy",4.31,USA,True,"Hugo,Nebula",Young Adult,True,2013
80,Where the Crawdads Sing,Delia Owens,Mystery,English,2018,G. P. Putnam's Sons,368,"nature,romance,mystery",4.41,USA,True,Goodreads Choice Award,Adult,True,2022
81,The Pillars of the Earth,Ken Follett,Historical Fiction,English,1989,Macmillan,973,"history,architecture,epic",4.33,UK,True,None,Adult,True,2010
82,The Name of the Wind,Patrick Rothfuss,Fantasy,English,2007,DAW Books,662,"magic,music,adventure",4.52,USA,True,Quill Award,Adult,False,1998
83,The Night Circus,Erin Morgenstern,Fantasy,English,2011,Doubleday,387,"magic,romance,circus",4.02,USA,True,Locus Award,Adult,False,1998
84,One Flew Over the Cuckoo's Nest,Ken Kesey,Psychological Fiction,English,1962,Viking Press,325,"mental health,rebellion,classic",4.2,USA,True,None,Adult,True,1975
85,The Silence of the Lambs,Thomas Harris,Thriller,English,1988,St. Martin's Press,338,"crime,horror,psychology",4.23,USA,True,Bram Stoker Award,Adult,True,1991
86,Rebecca,Daphne du Maurier,Gothic,English,1938,Victor Gollancz,449,"mystery,romance,classic",4.24,UK,True,National Book Award,Adult,True,1940
87,Watership Down,Richard Adams,Fantasy,English,1972,Rex Collings,478,"animals,adventure,classic",4.05,UK,True,Carnegie Medal,Young Adult,True,1978
88,American Gods,Neil Gaiman,Fantasy,English,2001,William Morrow,635,"mythology,road trip,americana",4.11,USA,True,"Hugo,Nebula",Adult,True,2017
89,A Tree Grows in Brooklyn,Betty Smith,Coming-of-age,English,1943,Harper & Brothers,493,"family,classic,poverty",4.25,USA,True,None,Young Adult,True,1945
90,The Grapes of Wrath,John Steinbeck,Historical Fiction,English,1939,Viking Press,464,"history,poverty,social",3.98,USA,True,"Pulitzer Prize,National Book Award",Adult,True,1940
91,Lolita,Vladimir Nabokov,Classic,English,1955,Olympia Press,336,"controversial,classic,psychology",3.88,USA,True,None,Adult,True,1962
92,Romeo and Juliet,William Shakespeare,Tragedy,English,1597,John Danter,281,"play,love,tragedy,classic",3.75,UK,True,None,Young Adult,True,1968
93,Hamlet,William Shakespeare,Tragedy,English,1603,Nicholas Ling,342,"play,revenge,philosophy",4.02,UK,True,None,Adult,True,1948
95,Don Quixote,Miguel de Cervantes,Adventure,Spanish,1605,Francisco de Robles,928,"classic,satire,spain",3.88,Spain,True,None,Adult,True,1972
96,Les Misérables,Victor Hugo,Historical Fiction,French,1862,A. Lacroix,1463,"history,france,justice,classic",4.18,France,True,None,Adult,True,2012
97,War and Peace,Leo Tolstoy,Historical Fiction,Russian,1869,The Russian Messenger,1225,"history,russia,war,classic",4.14,Russia,True,None,Adult,True,1956
98,Ulysses,James Joyce,Modernist,English,1922,Sylvia Beach,730,"classic,dublin,complex",3.73,Ireland,True,None,Adult,True,1967
99,Beloved,Toni Morrison,Magical Realism,English,1987,Knopf,324,"history,ghosts,slavery",3.93,USA,True,Pulitzer Prize,Adult,True,1998
100,Cloud Atlas,David Mitchell,Sci-Fi,English,2004,Sceptre,509,"time,philosophy,connection",4.02,UK,True,British Book Award,Adult,True,2012
101,Foundation,Isaac Asimov,Sci-Fi,English,1951,Gnome Press,255,"space,empire,psychohistory",4.18,USA,True,Hugo Award,Adult,True,2021
102,Neuromancer,William Gibson,Cyberpunk,English,1984,Ace,271,"cyberpunk,hacker,future",3.89,USA,True,"Hugo,Nebula,Philip K. Dick Award",Adult,False,1998
103,Snow Crash,Neal Stephenson,Sci-Fi,English,1992,Bantam Spectra,480,"cyberpunk,metaverse,satire",4.03,USA,True,None,Adult,False,1998
104,Hyperion,Dan Simmons,Sci-Fi,English,1989,Doubleday,482,"space,opera,time,religion",4.26,USA,True,Hugo Award,Adult,False,1998
105,The Three-Body Problem,Cixin Liu,Sci-Fi,English,2008,Chongqing Press,399,"aliens,physics,china",4.08,China,True,Hugo Award,Adult,True,2023
106,Norwegian Wood,Haruki Murakami,Romance,English,1987,Kodansha,296,"japan,love,loss,music",4.03,Japan,True,None,Adult,True,2010
107,Kafka on the Shore,Haruki Murakami,Magical Realism,English,2002,Shinchosha,505,"cats,japan,magic,surreal",4.13,Japan,True,World Fantasy Award,Adult,False,1998
108,Never Let Me Go,Kazuo Ishiguro,Sci-Fi,English,2005,Faber and Faber,288,"dystopia,clones,friendship",3.83,UK,True,None,Adult,True,2010
109,The Remains of the Day,Kazuo Ishiguro,Historical Fiction,English,1989,Faber and Faber,258,"history,memory,class",4.13,UK,True,Booker Prize,Adult,True,1993
110,Midnight's Children,Salman Rushdie,Magical Realism,English,1981,Jonathan Cape,647,"india,history,magic,politics",3.98,India,True,Booker Prize,Adult,True,2012
111,White Teeth,Zadie Smith,Contemporary Fiction,English,2000,Hamish Hamilton,448,"london,race,family,humor",3.78,UK,True,Whitbread Book Award,Adult,True,2002
112,The God of Small Things,Arundhati Roy,Drama,English,1997,IndiaInk,321,"india,family,caste,tragedy",3.95,India,True,Booker Prize,Adult,False,1998
113,The Goldfinch,Donna Tartt,Bildungsroman,English,2013,"Little, Brown",771,"art,crime,coming-of-age",3.92,USA,True,Pulitzer Prize,Adult,True,2019
114,All the Light We Cannot See,Anthony Doerr,Historical Fiction,English,2014,Scribner,531,"war,history,radio,blindness",4.33,USA,True,Pulitzer Prize,Adult,True,2023
115,The Nightingale,Kristin Hannah,Historical Fiction,English,2015,St. Martin's Press,440,"war,sisters,france,resistance",4.6,USA,True,Goodreads Choice Award,Adult,True,2024
116,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Romance,English,2017,Atria Books,389,"hollywood,lgbt,romance",4.43,USA,True,Goodreads Choice Award,Adult,True,2025
117,Daisy Jones & The Six,Taylor Jenkins Reid,Historical Fiction,English,2019,Ballantine Books,355,"music,70s,rock,interview",4.2,USA,True,None,Adult,True,2023
118,It Ends with Us,Colleen Hoover,Romance,English,2016,Atria Books,384,"romance,abuse,contemporary",4.24,USA,True,Goodreads Choice Award,Adult,True,2024
119,Big Little Lies,Liane Moriarty,Mystery,English,2014,Putnam,460,"secrets,marriage,australia",4.28,Australia,True,None,Adult,True,2017
120,Sharp Objects,Gillian Flynn,Thriller,English,2006,Shaye Areheart,254,"mystery,dark,crime,family",4.0,USA,True,None,Adult,True,2018
121,The Woman in the Window,A.J. Finn,Thriller,English,2018,William Morrow,427,"mystery,suspense,crime",3.95,USA,True,None,Adult,True,2021
122,Steve Jobs,Walter Isaacson,Biography,English,2011,Simon & Schuster,656,"tech,biography,apple,business",4.15,USA,True,None,Adult,True,2015
123,Educated,Tara Westover,Memoir,English,2018,Random House,334,"memoir,family,education",4.47,USA,True,Goodreads Choice Award,Adult,False,1998
124,Becoming,Michelle Obama,Memoir,English,2018,Crown,426,"politics,memoir,women",4.49,USA,True,Grammy Award,Adult,True,2020
125,Born a Crime,Trevor Noah,Memoir,English,2016,Spiegel & Grau,289,"humor,africa,memoir",4.49,South Africa,True,Thurber Prize,Adult,False,1998
126,Quiet: The Power of Introverts,Susan Cain,Non-fiction,English,2012,Crown,352,"psychology,business,self-help",4.07,USA,True,Goodreads Choice Award,Adult,False,1998
127,Atomic Habits,James Clear,Self-Help,English,2018,Avery,319,"psychology,growth,productivity",4.35,USA,True,None,Adult,False,1998
128,"Thinking, Fast and Slow",Daniel Kahneman,Psychology,English,2011,"Farrar, Straus and Giroux",499,"science,psychology,economics",4.18,Israel,True,National Academy of Sciences Best Book,Adult,False,1998
129,Sapiens: A Brief History of Humankind,Yuval Noah Harari,History,English,2011,Harvill Secker,443,"history,anthropology,science",4.36,Israel,True,Wenjin Book Award,Adult,False,1998
130,Outliers: The Story of Success,Malcolm Gladwell,Non-fiction,English,2008,"Little, Brown",309,"sociology,success,psychology",4.18,Canada,True,None,Adult,False,1998
131,The Immortal Life of Henrietta Lacks,Rebecca Skloot,Biography,English,2010,Crown,369,"science,history,medicine",4.07,USA,True,National Academies Communication Award,Adult,True,2017
132,Into Thin Air,Jon Krakauer,Non-fiction,English,1997,Villard,332,"adventure,mountain,tragedy",4.19,USA,True,None,Adult,True,1997
133,Wild,Cheryl Strayed,Memoir,English,2012,Knopf,315,"travel,nature,memoir",4.01,USA,True,None,Adult,True,2014
134,"Eat, Pray, Love",Elizabeth Gilbert,Memoir,English,2006,Viking,334,"travel,romance,food",3.6,USA,True,None,Adult,True,2010
135,The Glass Castle,Jeannette Walls,Memoir,English,2005,Scribner,288,"family,poverty,memoir",4.28,USA,True,Christopher Award,Adult,True,2017
136,Good Omens,Terry Pratchett & Neil Gaiman,Fantasy,English,1990,Gollancz,412,"humor,magic,satire",4.24,UK,True,None,Adult,True,2019
137,The Color of Magic,Terry Pratchett,Fantasy,English,1983,Colin Smythe,206,"humor,magic,discworld",3.99,UK,True,None,Adult,True,2008
138,Americanah,Chimamanda Ngozi Adichie,Romance,English,2013,Knopf,588,"race,africa,immigration",4.3,Nigeria,True,National Book Critics Circle Award,Adult,True,1998
139,Pachinko,Min Jin Lee,Historical Fiction,English,2017,Grand Central,490,"history,japan,korea,family",4.31,USA,True,National Book Award Finalist,Adult,True,2022
140,Homegoing,Yaa Gyasi,Historical Fiction,English,2016,Knopf,300,"history,slavery,africa,family",4.48,Ghana,True,John Leonard Prize,Adult,False,1998
141,Station Eleven,Emily St. John Mandel,Sci-Fi,English,2014,Knopf,333,"dystopia,pandemic,art",4.04,Canada,True,Arthur C. Clarke Award,Adult,True,2021
142,Circe,Madeline Miller,Fantasy,English,2018,"Little, Brown",393,"mythology,magic,feminism",4.24,USA,True,Goodreads Choice Award,Adult,False,1998
143,The Song of Achilles,Madeline Miller,Historical Fiction,English,2011,Ecco,378,"mythology,romance,war",4.42,USA,True,Orange Prize,Adult,False,1998
144,Normal People,Sally Rooney,Romance,English,2018,Faber & Faber,273,"love,ireland,coming-of-age",3.81,Ireland,True,British Book Award,Adult,True,2020
145,Conversations with Friends,Sally Rooney,Fiction,English,2017,Faber & Faber,304,"love,relationships,ireland",3.48,Ireland,True,None,Adult,True,2022
146,Eleanor Oliphant Is Completely Fine,Gail Honeyman,Fiction,English,2017,HarperCollins,336,"loneliness,mental health,humor",4.25,UK,True,Costa Book Award,Adult,False,1998
147,A Man Called Ove,Fredrik Backman,Fiction,English,2012,Forum,337,"humor,sweden,heartwarming",4.37,Sweden,True,None,Adult,True,2015
148,Beartown,Fredrik Backman,Drama,English,2016,Pir,418,"sports,community,tragedy",4.32,Sweden,True,Goodreads Choice Award Finalist,Adult,True,2020
149,Dark Matter,Blake Crouch,Sci-Fi,English,2016,Crown,342,"multiverse,thriller,science",4.11,USA,True,None,Adult,True,2024
150,Project Hail Mary,Andy Weir,Sci-Fi,English,2021,Ballantine Books,476,"space,science,aliens,survival",4.51,USA,True,Dragon Award,Adult,True,2025
151,And Then There Were None,Agatha Christie,Mystery,English,1939,Collins Crime Club,264,"crime,island,suspense,classic",4.26,UK,True,None,Adult,True,1945
152,The Big Sleep,Raymond Chandler,Crime,English,1939,Knopf,231,"noir,detective,los angeles",4.0,USA,True,None,Adult,True,1946
153,The Maltese Falcon,Dashiell Hammett,Crime,English,1930,Knopf,217,"noir,detective,mystery",3.94,USA,True,None,Adult,True,1941
154,V for Vendetta,Alan Moore,Graphic Novel,English,1982,Vertigo,296,"dystopia,anarchy,politics",4.25,UK,True,Prometheus Hall of Fame,Adult,True,2005
155,Watchmen,Alan Moore,Graphic Novel,English,1986,DC Comics,416,"superheroes,cold war,noir",4.36,USA,True,Hugo Award,Adult,True,2009
156,Maus,Art Spiegelman,Graphic Novel,English,1980,Pantheon,296,"history,holocaust,memoir",4.56,USA,True,Pulitzer Prize,Adult,False,1998
157,Persepolis,Marjane Satrapi,Memoir,English,2000,L'Association,341,"iran,history,graphic novel",4.25,France,True,None,Adult,True,2007
158,Man's Search for Meaning,Viktor E. Frankl,Psychology,English,1946,Verlag für Jugend und Volk,165,"holocaust,philosophy,psychology",4.36,Austria,True,None,Adult,False,1998
159,Thinking in Systems,Donella H. Meadows,Non-fiction,English,2008,Chelsea Green,240,"science,management,philosophy",4.2,USA,False,None,Adult,False,1998
160,Zero to One,Peter Thiel,Business,English,2014,Crown Business,195,"business,startup,tech",4.17,USA,True,None,Adult,False,1998
161,The Lean Startup,Eric Ries,Business,English,2011,Crown Business,336,"business,management,tech",4.1,USA,True,None,Adult,False,1998
162,Grit: The Power of Passion and Perseverance,Angela Duckworth,Psychology,English,2016,Scribner,333,"success,psychology,self-help",4.08,USA,True,None,Adult,False,1998
163,Mindset: The New Psychology of Success,Carol S. Dweck,Psychology,English,2006,Random House,320,"psychology,growth,education",4.08,USA,True,None,Adult,False,1998
164,Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi,Psychology,English,1990,Harper & Row,303,"psychology,happiness,science",4.11,USA,True,None,Adult,False,1998
165,The Prophet,Kahlil Gibran,Poetry,English,1923,Knopf,127,"philosophy,spirituality,classic",4.24,Lebanon,True,None,Adult,True,2014
166,Siddhartha,Hermann Hesse,Philosophy,English,1922,New Directions,152,"buddhism,india,classic",4.05,Germany,True,Nobel Prize,Adult,True,1972
167,Steppenwolf,Hermann Hesse,Philosophy,English,1927,S. Fischer Verlag,237,"psychology,classic,loneliness",3.95,Germany,True,Nobel Prize,Adult,True,1974
168,East of Eden,John Steinbeck,Historical Fiction,English,1952,Viking Press,601,"classic,family,good vs evil",4.38,USA,True,Nobel Prize,Adult,True,1955
169,The Sun Also Rises,Ernest Hemingway,Modernist,English,1926,Scribner,251,"travel,spain,lost generation",3.84,USA,True,None,Adult,True,1957
170,For Whom the Bell Tolls,Ernest Hemingway,War,English,1940,Scribner,471,"war,spain,romance,classic",3.97,USA,True,None,Adult,True,1943
171,As I Lay Dying,William Faulkner,Southern Gothic,English,1930,Cape and Smith,267,"classic,stream of consciousness,south",3.73,USA,True,Nobel Prize,Adult,True,2013
172,The Sound and the Fury,William Faulkner,Southern Gothic,English,1929,Cape and Smith,326,"classic,difficult,tragedy",3.86,USA,True,Nobel Prize,Adult,True,1959
174,Native Son,Richard Wright,Fiction,English,1940,Harper & Brothers,504,"race,poverty,crime",4.16,USA,True,None,Adult,True,1951
176,I Know Why the Caged Bird Sings,Maya Angelou,Autobiography,English,1969,Random House,289,"memoir,race,feminism",4.24,USA,True,National Book Award Nominee,Adult,True,1979
177,The Joy Luck Club,Amy Tan,Fiction,English,1989,Putnam,288,"family,china,mother-daughter",3.93,USA,True,None,Adult,True,1993
178,Interpreter of Maladies,Jhumpa Lahiri,Short Stories,English,1999,Houghton Mifflin,198,"india,culture,short stories",4.15,USA,True,Pulitzer Prize,Adult,False,1998
179,The White Tiger,Aravind Adiga,Fiction,English,2008,Atlantic Books,276,"india,class,satire",3.76,India,True,Booker Prize,Adult,True,2021
180,Shantaram,Gregory David Roberts,Adventure,English,2003,Scribe,936,"india,crime,travel",4.27,Australia,True,None,Adult,True,2022
181,The Shadow of the Wind,Carlos Ruiz Zafón,Mystery,English,2001,Planeta,487,"books,barcelona,history,gothic",4.28,Spain,True,Barry Award,Adult,False,1998
182,Love in the Time of Cholera,Gabriel García Márquez,Romance,English,1985,Knopf,348,"love,colombia,classic",3.92,Colombia,True,Nobel Prize,Adult,True,2007
183,The House of the Spirits,Isabel Allende,Magical Realism,English,1982,Plaza & Janés,448,"chile,family,magic,politics",4.24,Chile,True,None,Adult,True,1993
184,Like Water for Chocolate,Laura Esquivel,Magical Realism,English,1989,Doubleday,224,"food,mexico,romance,magic",3.95,Mexico,True,None,Adult,True,1992
185,Ficciones,Jorge Luis Borges,Short Stories,English,1944,Sur,174,"surreal,philosophy,classic",4.43,Argentina,True,None,Adult,False,1998
