Status Pesanan,Waktu Pesanan Dibuat,Metode Pembayaran,Jumlah,Returned Quantity,Total Diskon,Total Berat,Ongkos Kirim Dibayar oleh Pembeli,Estimasi Potongan Biaya Pengiriman,Total Pembayaran,Perkiraan Ongkos Kirim,Provinsi,Kategori Produk,Jenis Pembatalan,Alasan Pembatalan,Ekspedisi,Metode Pengiriman,Jumlah Terjual Bersih,Weekend
Batal,2024-04-01 07:56:00,Online Payment,1,0,0.0,0.5,0.0,0.0,0,16500.0,Jawa Barat,Home Organization & Living,Pembeli,Ubah Pesanan yang Ada,J&T,Hemat,1,0
Selesai,2024-04-01 08:27:00,Online Payment,1,0,0.0,2.15,13000.0,20000.0,92800,33000.0,Jawa Tengah,Home Organization & Living,nan,,SPX,Hemat,1,0
Selesai,2024-04-01 08:27:00,Online Payment,1,0,0.0,2.15,13000.0,20000.0,92800,33000.0,Jawa Tengah,Bathroom & Cleaning,nan,,SPX,Hemat,1,0
Selesai,2024-04-01 08:27:00,Online Payment,1,0,0.0,2.15,13000.0,20000.0,92800,33000.0,Jawa Tengah,Home Organization & Living,nan,,SPX,Hemat,1,0
Batal,2024-04-01 09:02:00,COD (Bayar di Tempat),2,0,0.0,1.0,0.0,0.0,0,53000.0,Riau,Home Organization & Living,Pembeli,Lainnya/ berubah pikiran,SPX,Hemat,2,0
Batal,2024-04-01 10:24:00,COD (Bayar di Tempat),1,0,0.0,0.5,0.0,0.0,0,12000.0,Jawa Barat,Home Organization & Living,Pembeli,Lainnya/ berubah pikiran,SPX,Hemat,1,0
Selesai,2024-04-01 10:26:00,COD (Bayar di Tempat),1,0,0.0,1.2,0.0,16000.0,32200,16000.0,Banten,Food Storage & Packaging,nan,,SPX,Reguler,1,0
Selesai,2024-04-01 10:54:00,COD (Bayar di Tempat),2,0,0.0,0.4,0.0,8000.0,30000,8000.0,Jawa Barat,Kitchen & Dining,nan,,SPX,Hemat,2,0
Batal,2024-04-01 12:36:00,COD (Bayar di Tempat),5,0,0.0,1.0,0.0,0.0,0,22000.0,Jawa Tengah,Kitchen & Dining,Pembeli,Ubah Pesanan yang Ada,SPX,Hemat,5,0
Selesai,2024-04-01 12:41:00,Saldo ShopeePay,1,0,0.0,0.5,0.0,8000.0,24000,8000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,1,0
Selesai,2024-04-01 12:44:00,Saldo ShopeePay,1,0,0.0,0.5,0.0,8000.0,20800,8000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,1,0
Selesai,2024-04-01 12:51:00,Saldo ShopeePay,1,0,0.0,7.0,23000.0,20000.0,124000,43000.0,Banten,Other,nan,,SPX,Instant Delivery,1,0
Selesai,2024-04-01 13:07:00,COD (Bayar di Tempat),1,0,0.0,0.6,3000.0,20000.0,35112,23000.0,Lampung,Bathroom & Cleaning,nan,,SPX,Pick Up Point,1,0
Selesai,2024-04-01 13:07:00,COD (Bayar di Tempat),1,0,0.0,0.6,3000.0,20000.0,35112,23000.0,Lampung,Home Organization & Living,nan,,SPX,Pick Up Point,1,0
Selesai,2024-04-01 13:46:00,COD (Bayar di Tempat),1,0,0.0,0.4,0.0,8000.0,14187,8000.0,Banten,Kitchen & Dining,nan,,SPX,Hemat,1,0
Selesai,2024-04-01 13:51:00,COD (Bayar di Tempat),3,0,0.0,1.0,0.0,15000.0,79000,15000.0,Jawa Barat,Kitchen & Dining,nan,,SPX,Hemat,3,0
Selesai,2024-04-01 13:51:00,COD (Bayar di Tempat),2,0,0.0,1.0,0.0,15000.0,79000,15000.0,Jawa Barat,Kitchen & Dining,nan,,SPX,Hemat,2,0
Batal,2024-04-01 13:53:00,COD (Bayar di Tempat),1,0,0.0,1.4,0.0,0.0,0,111000.0,Sulawesi Selatan,Home Organization & Living,Sistem Otomatis,Pengiriman gagal,SPX,Hemat,1,0
Selesai,2024-04-01 14:01:00,COD (Bayar di Tempat),1,0,0.0,1.7,4000.0,40000.0,72760,44000.0,Bengkulu,Home Organization & Living,nan,,SPX,Hemat,1,0
Selesai,2024-04-01 14:53:00,COD (Bayar di Tempat),1,0,0.0,0.2,0.0,8000.0,6200,8000.0,Dki Jakarta,Home Organization & Living,nan,,SPX,Hemat,1,0
Selesai,2024-04-01 15:25:00,COD (Bayar di Tempat),15,0,0.0,3.0,31000.0,20000.0,134640,51000.0,Jawa Barat,Kitchen & Dining,nan,,SPX,Hemat,15,0
Selesai,2024-04-01 15:27:00,COD (Bayar di Tempat),10,0,0.0,2.0,6000.0,40000.0,163240,46000.0,Lampung,Kitchen & Dining,nan,,SPX,Pick Up Point,10,0
Selesai,2024-04-01 15:52:00,COD (Bayar di Tempat),1,0,0.0,1.2,0.0,8000.0,42600,8000.0,Banten,Food Storage & Packaging,nan,,SPX,Hemat,1,0
Selesai,2024-04-01 16:09:00,Saldo ShopeePay,1,0,0.0,0.3,0.0,8000.0,11000,8000.0,Banten,Home Organization & Living,nan,,SPX,Hemat,1,0
Selesai,2024-04-01 19:31:00,Online Payment,2,0,0.0,0.6,0.0,8000.0,20000,8000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,2,0
Selesai,2024-04-01 20:41:00,Saldo ShopeePay,1,0,0.0,0.5,0.0,9500.0,18000,9500.0,Banten,Home Organization & Living,nan,,SPX,Reguler,1,0
Selesai,2024-04-01 21:23:00,COD (Bayar di Tempat),1,0,0.0,0.2,18000.0,0.0,33000,18000.0,Jawa Tengah,Kitchen & Dining,nan,,SPX,Hemat,1,0
Batal,2024-04-01 21:32:00,COD (Bayar di Tempat),4,0,0.0,4.01,0.0,0.0,0,32000.0,Dki Jakarta,Food Storage & Packaging,Pembeli,Lainnya/ berubah pikiran,SPX,Hemat,4,0
Batal,2024-04-01 21:32:00,COD (Bayar di Tempat),1,0,0.0,4.01,0.0,0.0,0,32000.0,Dki Jakarta,Food Storage & Packaging,Pembeli,Lainnya/ berubah pikiran,SPX,Hemat,1,0
Selesai,2024-04-02 03:05:00,Kartu Kredit/Debit,6,0,0.0,1.2,0.0,19000.0,68500,19000.0,Jawa Timur,Kitchen & Dining,nan,,SPX,Reguler,6,0
Selesai,2024-04-02 05:47:00,COD (Bayar di Tempat),1,0,0.0,0.5,10000.0,0.0,27000,10000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,1,0
Batal,2024-04-08 16:05:00,SPayLater,3,0,0.0,0.6,0.0,0.0,0,34000.0,Banten,Food Storage & Packaging,Sistem Otomatis,Penjual tidak mengatur pengiriman tepat waktu,GrabExpress,Instant Delivery,3,0
Selesai,2024-04-08 16:50:00,COD (Bayar di Tempat),1,0,0.0,0.2,78499.0,0.0,98239,78499.0,Sulawesi Utara,Kitchen & Dining,nan,,J&T,Reguler,1,0
Selesai,2024-04-08 19:15:00,Saldo ShopeePay,1,0,0.0,1.1,8000.0,0.0,50000,8000.0,Dki Jakarta,Other,nan,,SPX,Hemat,1,0
Selesai,2024-04-08 19:15:00,Saldo ShopeePay,1,0,0.0,1.1,8000.0,0.0,50000,8000.0,Dki Jakarta,Home Organization & Living,nan,,SPX,Hemat,1,0
Selesai,2024-04-08 19:49:00,COD (Bayar di Tempat),2,1,0.0,4.0,16000.0,20000.0,130540,36000.0,Jawa Barat,Food Storage & Packaging,nan,,SPX,Hemat,1,0
Batal,2024-04-08 22:06:00,COD (Bayar di Tempat),1,0,0.0,0.7,0.0,0.0,0,40000.0,Sulawesi Selatan,Home Organization & Living,Pembeli,Perlu mengubah alamat pengiriman,J&T,Reguler,1,0
Batal,2024-04-08 23:45:00,Online Payment,2,0,0.0,0.1,0.0,0.0,0,20000.0,Jawa Timur,Tools & Accessories,Pembeli,Ubah Pesanan yang Ada,SPX,Reguler,2,0
Selesai,2024-04-09 00:00:00,Saldo ShopeePay,3,0,0.0,0.15,0.0,19500.0,121540,19500.0,Jawa Timur,Tools & Accessories,nan,,SPX,Hemat,3,0
Selesai,2024-04-09 00:22:00,COD (Bayar di Tempat),1,0,0.0,0.5,8000.0,0.0,29912,8000.0,Dki Jakarta,Home Organization & Living,nan,,SPX,Hemat,1,0
Selesai,2024-04-09 01:45:00,SPayLater,1,0,0.0,1.0,8000.0,0.0,46147,8000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,1,0
Selesai,2024-04-09 02:45:00,Online Payment,1,0,0.0,0.5,8000.0,0.0,27000,8000.0,Banten,Home Organization & Living,nan,,SPX,Hemat,1,0
Batal,2024-04-09 08:47:00,COD (Bayar di Tempat),2,0,0.0,0.4,0.0,0.0,0,33200.0,Lampung,Kitchen & Dining,Pembeli,Ubah Pesanan yang Ada,SPX,Hemat,2,0
Selesai,2024-04-09 08:51:00,COD (Bayar di Tempat),2,0,0.0,0.4,3200.0,30000.0,35528,33200.0,Lampung,Kitchen & Dining,nan,,SPX,Hemat,2,0
Selesai,2024-04-09 09:14:00,Saldo ShopeePay,1,0,0.0,0.5,10000.0,0.0,28000,10000.0,Dki Jakarta,Home Organization & Living,nan,,SPX,Reguler,1,0
Selesai,2024-04-09 10:49:00,COD (Bayar di Tempat),1,0,0.0,0.7,8000.0,0.0,31000,8000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,1,0
Selesai,2024-04-09 12:30:00,Online Payment,2,0,0.0,1.0,8000.0,0.0,43800,8000.0,Dki Jakarta,Home Organization & Living,nan,,SPX,Hemat,2,0
Selesai,2024-04-09 12:54:00,Online Payment,1,0,0.0,0.5,8000.0,0.0,33000,8000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,1,0
Batal,2024-04-09 13:13:00,Online Payment,1,0,0.0,0.5,0.0,0.0,0,28500.0,Banten,Home Organization & Living,Pembeli,Lainnya/ berubah pikiran,SPX,Same Day Delivery,1,0
Selesai,2024-04-09 13:18:00,Saldo ShopeePay,2,0,0.0,1.0,8000.0,0.0,48590,8000.0,Banten,Home Organization & Living,nan,,SPX,Hemat,2,0
Selesai,2024-04-09 14:56:00,COD (Bayar di Tempat),2,0,0.0,0.4,8000.0,0.0,40520,8000.0,Jawa Barat,Kitchen & Dining,nan,,SPX,Hemat,2,0
Batal,2024-04-09 21:08:00,COD (Bayar di Tempat),1,0,0.0,4.2,0.0,0.0,0,106000.0,Kalimantan Tengah,Home Organization & Living,Pembeli,Ubah Pesanan yang Ada,SPX,Pick Up Point,1,0
Batal,2024-04-10 00:32:00,COD (Bayar di Tempat),1,0,0.0,1.4,0.0,0.0,0,16000.0,Banten,Home Organization & Living,Sistem Otomatis,Pengiriman gagal,SPX,Hemat,1,0
Batal,2024-04-10 08:13:00,COD (Bayar di Tempat),1,0,0.0,0.7,0.0,0.0,0,16000.0,Jawa Tengah,Home Organization & Living,Pembeli,Lainnya/ berubah pikiran,SPX,Hemat,1,0
Selesai,2024-04-10 11:24:00,Saldo ShopeePay,1,0,0.0,2.1,0.0,20000.0,81500,20000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Reguler,1,0
Selesai,2024-04-10 11:24:00,Saldo ShopeePay,2,0,0.0,2.1,0.0,20000.0,81500,20000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Reguler,2,0
Selesai,2024-04-10 11:24:00,Saldo ShopeePay,1,0,0.0,2.1,0.0,20000.0,81500,20000.0,Jawa Barat,Food Storage & Packaging,nan,,SPX,Reguler,1,0
Selesai,2024-04-10 11:40:00,COD (Bayar di Tempat),1,0,0.0,0.5,0.0,9500.0,19800,9500.0,Jawa Barat,Home Organization & Living,nan,,SPX,Reguler,1,0
Batal,2024-04-10 11:59:00,Saldo ShopeePay,2,0,0.0,3.0,0.0,0.0,0,17500.0,Banten,Home Organization & Living,Pembeli,Lainnya/ berubah pikiran,SPX,Same Day Delivery,2,0
Selesai,2024-04-10 13:37:00,COD (Bayar di Tempat),1,0,0.0,0.5,4000.0,10000.0,25752,14000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,1,0
Selesai,2024-04-10 17:35:00,SPayLater,1,0,0.0,0.5,8000.0,0.0,29078,8000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,1,0
Selesai,2024-04-10 20:19:00,COD (Bayar di Tempat),1,0,0.0,0.5,9000.0,0.0,34280,9000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,1,0
Selesai,2024-04-11 00:45:00,COD (Bayar di Tempat),2,0,0.0,1.0,0.0,10000.0,42184,10000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Reguler,2,0
Selesai,2024-04-11 00:47:00,Saldo ShopeePay,1,0,0.0,0.5,0.0,9500.0,12100,9500.0,Jawa Barat,Home Organization & Living,nan,,JNE,Reguler,1,0
Batal,2024-04-11 08:52:00,Saldo ShopeePay,1,0,0.0,0.05,0.0,0.0,0,18000.0,Jawa Tengah,Tools & Accessories,Sistem Otomatis,Lainnya,Platform Default,Hemat,1,0
Selesai,2024-04-11 10:11:00,Saldo ShopeePay,1,0,0.0,0.5,8000.0,0.0,28800,8000.0,Dki Jakarta,Home Organization & Living,nan,,SPX,Hemat,1,0
Selesai,2024-04-11 10:16:00,Online Payment,1,0,0.0,1.0,8000.0,0.0,43414,8000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,1,0
Selesai,2024-04-11 14:18:00,COD (Bayar di Tempat),1,0,0.0,0.6,101000.0,0.0,152840,101000.0,Kalimantan Timur,Kitchen & Dining,nan,,J&T,Reguler,1,0
Batal,2024-04-11 14:39:00,COD (Bayar di Tempat),1,0,0.0,0.5,0.0,0.0,0,16000.0,Jawa Tengah,Home Organization & Living,Pembeli,Lainnya/ berubah pikiran,SPX,Hemat,1,0
Selesai,2024-04-11 15:24:00,COD (Bayar di Tempat),1,0,0.0,0.5,8000.0,0.0,29912,8000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,1,0
Batal,2024-04-11 17:42:00,Online Payment,1,0,0.0,0.3,0.0,0.0,0,9500.0,Jawa Barat,Other,Sistem Otomatis,Penjual gagal mengirimkan pesanan tepat waktu,SPX,Reguler,1,0
Batal,2024-04-11 18:29:00,COD (Bayar di Tempat),1,0,0.0,0.5,0.0,0.0,0,20500.0,Jawa Tengah,Home Organization & Living,Sistem Otomatis,Pengiriman gagal,SPX,Reguler,1,0
Selesai,2024-04-11 23:43:00,COD (Bayar di Tempat),1,0,0.0,1.0,8000.0,0.0,45200,8000.0,Dki Jakarta,Home Organization & Living,nan,,SPX,Hemat,1,0
Selesai,2024-04-12 04:56:00,Saldo ShopeePay,2,0,0.0,1.0,8000.0,0.0,48600,8000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,2,0
Batal,2024-04-12 05:44:00,Online Payment,1,0,0.0,8.145,0.0,0.0,0,39900.0,Jawa Timur,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,1,0
Batal,2024-04-12 05:44:00,Online Payment,1,0,0.0,8.145,0.0,0.0,0,39900.0,Jawa Timur,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,1,0
Batal,2024-04-12 05:44:00,Online Payment,5,0,0.0,8.145,0.0,0.0,0,39900.0,Jawa Timur,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,5,0
Batal,2024-04-12 05:44:00,Online Payment,1,0,0.0,8.145,0.0,0.0,0,39900.0,Jawa Timur,Food Storage & Packaging,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,1,0
Batal,2024-04-12 05:44:00,Online Payment,2,0,0.0,8.145,0.0,0.0,0,39900.0,Jawa Timur,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,2,0
Batal,2024-04-12 05:44:00,Online Payment,3,0,0.0,8.145,0.0,0.0,0,39900.0,Jawa Timur,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,3,0
Batal,2024-04-12 05:44:00,Online Payment,2,0,0.0,8.145,0.0,0.0,0,39900.0,Jawa Timur,Home Organization & Living,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,2,0
Batal,2024-04-12 05:44:00,Online Payment,2,0,0.0,8.145,0.0,0.0,0,39900.0,Jawa Timur,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,2,0
Batal,2024-04-12 05:44:00,Online Payment,1,0,0.0,8.145,0.0,0.0,0,39900.0,Jawa Timur,Food Storage & Packaging,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,1,0
Batal,2024-04-12 05:44:00,Online Payment,2,0,0.0,8.145,0.0,0.0,0,39900.0,Jawa Timur,Food Storage & Packaging,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,2,0
Batal,2024-04-12 05:44:00,Online Payment,1,0,0.0,8.145,0.0,0.0,0,39900.0,Jawa Timur,Tools & Accessories,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,1,0
Batal,2024-04-12 09:30:00,COD (Bayar di Tempat),2,0,0.0,1.2,0.0,0.0,0,7500.0,Banten,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,SPX,Hemat,2,0
Selesai,2024-04-12 09:32:00,COD (Bayar di Tempat),2,0,0.0,1.2,0.0,13000.0,94600,13000.0,Banten,Kitchen & Dining,nan,,SPX,Hemat,2,0
Batal,2024-04-12 12:45:00,COD (Bayar di Tempat),1,0,0.0,0.3,0.0,0.0,0,22000.0,Sulawesi Selatan,Home Organization & Living,Pembeli,Perlu mengubah alamat pengiriman,SPX,Pick Up Point,1,0
Selesai,2024-04-12 13:04:00,Kartu Kredit/Debit,1,0,0.0,1.0,8000.0,0.0,45800,8000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,1,0
Selesai,2024-04-12 14:08:00,Saldo ShopeePay,1,0,0.0,1.0,0.0,36000.0,38300,36000.0,Sumatera Utara,Home Organization & Living,nan,,SPX,Hemat,1,0
Batal,2024-04-12 15:42:00,COD (Bayar di Tempat),1,0,0.0,0.2,0.0,0.0,0,8000.0,Banten,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,SPX,Hemat,1,0
Selesai,2024-04-12 16:15:00,Kartu Kredit/Debit,6,0,0.0,1.2,0.0,19000.0,83283,19000.0,Jawa Timur,Kitchen & Dining,nan,,SPX,Reguler,6,0
Selesai,2024-04-12 17:49:00,Saldo ShopeePay,1,0,0.0,0.5,0.0,9500.0,17674,9500.0,Banten,Home Organization & Living,nan,,SPX,Reguler,1,0
Selesai,2024-04-12 18:13:00,Saldo ShopeePay,1,0,0.0,0.5,8000.0,0.0,28800,8000.0,Banten,Home Organization & Living,nan,,SPX,Hemat,1,0
Selesai,2024-04-12 18:16:00,Saldo ShopeePay,1,0,0.0,0.5,0.0,9500.0,20800,9500.0,Banten,Home Organization & Living,nan,,SPX,Reguler,1,0
Selesai,2024-04-12 20:44:00,COD (Bayar di Tempat),25,0,0.0,5.0,65000.0,20000.0,237278,85000.0,Jawa Barat,Kitchen & Dining,nan,,SPX,Hemat,25,0
Selesai,2024-04-12 20:45:00,Saldo ShopeePay,1,0,0.0,0.5,8000.0,0.0,25050,8000.0,Dki Jakarta,Home Organization & Living,nan,,SPX,Hemat,1,0
Selesai,2024-04-12 21:23:00,COD (Bayar di Tempat),1,0,0.0,0.5,9000.0,0.0,30952,9000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,1,0
Selesai,2024-04-13 02:53:00,SPayLater,1,0,0.0,0.5,9500.0,0.0,28270,9500.0,Jawa Barat,Home Organization & Living,nan,,SPX,Reguler,1,1
Selesai,2024-04-13 04:30:00,COD (Bayar di Tempat),1,0,0.0,0.5,8000.0,0.0,29912,8000.0,Dki Jakarta,Home Organization & Living,nan,,SPX,Hemat,1,1
Batal,2024-04-13 07:11:00,COD (Bayar di Tempat),1,0,0.0,0.3,0.0,0.0,0,20000.0,Jawa Timur,Bathroom & Cleaning,Pembeli,Lainnya/ berubah pikiran,SPX,Hemat,1,1
Batal,2024-04-13 07:30:00,Saldo ShopeePay,1,0,0.0,8.01,0.0,0.0,0,39900.0,Jawa Timur,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,1,1
Batal,2024-04-13 07:30:00,Saldo ShopeePay,1,0,0.0,8.01,0.0,0.0,0,39900.0,Jawa Timur,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,1,1
Batal,2024-04-13 07:30:00,Saldo ShopeePay,5,0,0.0,8.01,0.0,0.0,0,39900.0,Jawa Timur,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,5,1
Batal,2024-04-13 07:30:00,Saldo ShopeePay,1,0,0.0,8.01,0.0,0.0,0,39900.0,Jawa Timur,Food Storage & Packaging,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,1,1
Batal,2024-04-13 07:30:00,Saldo ShopeePay,2,0,0.0,8.01,0.0,0.0,0,39900.0,Jawa Timur,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,2,1
Batal,2024-04-13 07:30:00,Saldo ShopeePay,1,0,0.0,8.01,0.0,0.0,0,39900.0,Jawa Timur,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,1,1
Batal,2024-04-13 07:30:00,Saldo ShopeePay,2,0,0.0,8.01,0.0,0.0,0,39900.0,Jawa Timur,Home Organization & Living,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,2,1
Batal,2024-04-13 07:30:00,Saldo ShopeePay,1,0,0.0,8.01,0.0,0.0,0,39900.0,Jawa Timur,Food Storage & Packaging,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,1,1
Batal,2024-04-13 07:30:00,Saldo ShopeePay,1,0,0.0,8.01,0.0,0.0,0,39900.0,Jawa Timur,Food Storage & Packaging,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,1,1
Selesai,2024-04-13 07:39:00,SeaBank Bayar Instan,2,0,0.0,2.6,4000.0,20000.0,81881,24000.0,Dki Jakarta,Other,nan,,SPX,Hemat,2,1
Selesai,2024-04-13 07:39:00,SeaBank Bayar Instan,1,0,0.0,2.6,4000.0,20000.0,81881,24000.0,Dki Jakarta,Other,nan,,SPX,Hemat,1,1
Selesai,2024-04-13 07:39:00,SeaBank Bayar Instan,2,0,0.0,2.6,4000.0,20000.0,81881,24000.0,Dki Jakarta,Home Organization & Living,nan,,SPX,Hemat,2,1
Selesai,2024-04-13 08:08:00,Online Payment,1,0,0.0,7.0,0.0,20000.0,102000,20000.0,Banten,Other,nan,,GrabExpress,Instant Delivery,1,1
Batal,2024-04-13 08:15:00,COD (Bayar di Tempat),1,0,0.0,0.5,0.0,0.0,0,8000.0,Jawa Barat,Home Organization & Living,Pembeli,Ubah Pesanan yang Ada,SPX,Hemat,1,1
Selesai,2024-04-13 10:15:00,COD (Bayar di Tempat),1,0,0.0,0.5,8000.0,0.0,30120,8000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,1,1
Selesai,2024-04-13 11:27:00,Saldo ShopeePay,2,0,0.0,3.0,17500.0,0.0,123752,17500.0,Banten,Home Organization & Living,nan,,SPX,Same Day Delivery,2,1
Selesai,2024-04-13 13:11:00,COD (Bayar di Tempat),2,0,0.0,1.0,8000.0,0.0,44472,8000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,2,1
Selesai,2024-04-13 13:42:00,SPayLater,1,0,0.0,1.5,18000.0,0.0,68660,18000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,1,1
Selesai,2024-04-13 18:08:00,COD (Bayar di Tempat),1,0,0.0,0.5,16000.0,0.0,35216,16000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,1,1
Selesai,2024-04-13 19:51:00,Saldo ShopeePay,1,0,0.0,0.5,0.0,10000.0,20800,10000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,1,1
Selesai,2024-04-13 22:13:00,Saldo ShopeePay,1,0,0.0,0.5,10000.0,0.0,28090,10000.0,Dki Jakarta,Home Organization & Living,nan,,JNE,Reguler,1,1
Selesai,2024-04-13 22:36:00,SPayLater,1,0,0.0,0.5,4500.0,10000.0,25543,14500.0,Jawa Tengah,Home Organization & Living,nan,,SPX,Hemat,1,1
Selesai,2024-04-13 23:03:00,SPayLater,4,0,0.0,1.3,37300.0,0.0,119372,37300.0,Bengkulu,Kitchen & Dining,nan,,SPX,Hemat,4,1
Selesai,2024-04-13 23:03:00,SPayLater,1,0,0.0,1.3,37300.0,0.0,119372,37300.0,Bengkulu,Other,nan,,SPX,Hemat,1,1
Selesai,2024-04-13 23:03:00,SPayLater,1,0,0.0,1.3,37300.0,0.0,119372,37300.0,Bengkulu,Bathroom & Cleaning,nan,,SPX,Hemat,1,1
Selesai,2024-04-14 01:37:00,COD (Bayar di Tempat),2,0,0.0,0.4,22000.0,0.0,55080,22000.0,Jawa Tengah,Kitchen & Dining,nan,,SPX,Hemat,2,1
Selesai,2024-04-14 05:57:00,COD (Bayar di Tempat),1,0,0.0,0.5,8000.0,0.0,29912,8000.0,Banten,Home Organization & Living,nan,,SPX,Hemat,1,1
Selesai,2024-04-14 09:14:00,Online Payment,1,0,0.0,2.1,17500.0,0.0,57500,17500.0,Banten,Food Storage & Packaging,nan,,SPX,Same Day Delivery,1,1
Selesai,2024-04-14 09:14:00,Online Payment,2,0,0.0,2.1,17500.0,0.0,57500,17500.0,Banten,Kitchen & Dining,nan,,SPX,Same Day Delivery,2,1
