Status Pesanan,Waktu Pesanan Dibuat,Metode Pembayaran,Jumlah,Returned Quantity,Total Diskon,Total Berat,Ongkos Kirim Dibayar oleh Pembeli,Estimasi Potongan Biaya Pengiriman,Total Pembayaran,Perkiraan Ongkos Kirim,Provinsi,Kategori Produk,Jenis Pembatalan,Alasan Pembatalan,Ekspedisi,Metode Pengiriman,Jumlah Terjual Bersih,Weekend,year_month,Total Harga
Batal,2024-04-01 07:56:00,Online Payment,1,0,0,0.5,0,0,0,16500,Jawa Barat,Home Organization & Living,Pembeli,Ubah Pesanan yang Ada,J&T,Hemat,1,No,2024-04,0
Selesai,2024-04-01 08:27:00,Online Payment,1,0,0,2.15,13000,20000,92800,33000,Jawa Tengah,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,105800
Selesai,2024-04-01 08:27:00,Online Payment,1,0,0,2.15,13000,20000,92800,33000,Jawa Tengah,Bathroom & Cleaning,,,SPX,Hemat,1,No,2024-04,105800
Selesai,2024-04-01 08:27:00,Online Payment,1,0,0,2.15,13000,20000,92800,33000,Jawa Tengah,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,105800
Batal,2024-04-01 09:02:00,COD (Bayar di Tempat),2,0,0,1.0,0,0,0,53000,Riau,Home Organization & Living,Pembeli,Lainnya/ berubah pikiran,SPX,Hemat,2,No,2024-04,0
Batal,2024-04-01 10:24:00,COD (Bayar di Tempat),1,0,0,0.5,0,0,0,12000,Jawa Barat,Home Organization & Living,Pembeli,Lainnya/ berubah pikiran,SPX,Hemat,1,No,2024-04,0
Selesai,2024-04-01 10:26:00,COD (Bayar di Tempat),1,0,0,1.2,0,16000,32200,16000,Banten,Food Storage & Packaging,,,SPX,Reguler,1,No,2024-04,32200
Selesai,2024-04-01 10:54:00,COD (Bayar di Tempat),2,0,0,0.4,0,8000,30000,8000,Jawa Barat,Kitchen & Dining,,,SPX,Hemat,2,No,2024-04,30000
Batal,2024-04-01 12:36:00,COD (Bayar di Tempat),5,0,0,1.0,0,0,0,22000,Jawa Tengah,Kitchen & Dining,Pembeli,Ubah Pesanan yang Ada,SPX,Hemat,5,No,2024-04,0
Selesai,2024-04-01 12:41:00,Saldo ShopeePay,1,0,0,0.5,0,8000,24000,8000,Jawa Barat,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,24000
Selesai,2024-04-01 12:44:00,Saldo ShopeePay,1,0,0,0.5,0,8000,20800,8000,Jawa Barat,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,20800
Selesai,2024-04-01 12:51:00,Saldo ShopeePay,1,0,0,7.0,23000,20000,124000,43000,Banten,Other,,,SPX,Instant Delivery,1,No,2024-04,147000
Selesai,2024-04-01 13:07:00,COD (Bayar di Tempat),1,0,0,0.6,3000,20000,35112,23000,Lampung,Bathroom & Cleaning,,,SPX,Pick Up Point,1,No,2024-04,38112
Selesai,2024-04-01 13:07:00,COD (Bayar di Tempat),1,0,0,0.6,3000,20000,35112,23000,Lampung,Home Organization & Living,,,SPX,Pick Up Point,1,No,2024-04,38112
Selesai,2024-04-01 13:46:00,COD (Bayar di Tempat),1,0,0,0.4,0,8000,14187,8000,Banten,Kitchen & Dining,,,SPX,Hemat,1,No,2024-04,14187
Selesai,2024-04-01 13:51:00,COD (Bayar di Tempat),3,0,0,1.0,0,15000,79000,15000,Jawa Barat,Kitchen & Dining,,,SPX,Hemat,3,No,2024-04,79000
Selesai,2024-04-01 13:51:00,COD (Bayar di Tempat),2,0,0,1.0,0,15000,79000,15000,Jawa Barat,Kitchen & Dining,,,SPX,Hemat,2,No,2024-04,79000
Batal,2024-04-01 13:53:00,COD (Bayar di Tempat),1,0,0,1.4,0,0,0,111000,Sulawesi Selatan,Home Organization & Living,Sistem Otomatis,Pengiriman gagal,SPX,Hemat,1,No,2024-04,0
Selesai,2024-04-01 14:01:00,COD (Bayar di Tempat),1,0,0,1.7,4000,40000,72760,44000,Bengkulu,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,76760
Selesai,2024-04-01 14:53:00,COD (Bayar di Tempat),1,0,0,0.2,0,8000,6200,8000,Dki Jakarta,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,6200
Selesai,2024-04-01 15:25:00,COD (Bayar di Tempat),15,0,0,3.0,31000,20000,134640,51000,Jawa Barat,Kitchen & Dining,,,SPX,Hemat,15,No,2024-04,165640
Selesai,2024-04-01 15:27:00,COD (Bayar di Tempat),10,0,0,2.0,6000,40000,163240,46000,Lampung,Kitchen & Dining,,,SPX,Pick Up Point,10,No,2024-04,169240
Selesai,2024-04-01 15:52:00,COD (Bayar di Tempat),1,0,0,1.2,0,8000,42600,8000,Banten,Food Storage & Packaging,,,SPX,Hemat,1,No,2024-04,42600
Selesai,2024-04-01 16:09:00,Saldo ShopeePay,1,0,0,0.3,0,8000,11000,8000,Banten,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,11000
Selesai,2024-04-01 19:31:00,Online Payment,2,0,0,0.6,0,8000,20000,8000,Jawa Barat,Home Organization & Living,,,SPX,Hemat,2,No,2024-04,20000
Selesai,2024-04-01 20:41:00,Saldo ShopeePay,1,0,0,0.5,0,9500,18000,9500,Banten,Home Organization & Living,,,SPX,Reguler,1,No,2024-04,18000
Selesai,2024-04-01 21:23:00,COD (Bayar di Tempat),1,0,0,0.2,18000,0,33000,18000,Jawa Tengah,Kitchen & Dining,,,SPX,Hemat,1,No,2024-04,51000
Batal,2024-04-01 21:32:00,COD (Bayar di Tempat),4,0,0,4.01,0,0,0,32000,Dki Jakarta,Food Storage & Packaging,Pembeli,Lainnya/ berubah pikiran,SPX,Hemat,4,No,2024-04,0
Batal,2024-04-01 21:32:00,COD (Bayar di Tempat),1,0,0,4.01,0,0,0,32000,Dki Jakarta,Food Storage & Packaging,Pembeli,Lainnya/ berubah pikiran,SPX,Hemat,1,No,2024-04,0
Selesai,2024-04-02 03:05:00,Kartu Kredit/Debit,6,0,0,1.2,0,19000,68500,19000,Jawa Timur,Kitchen & Dining,,,SPX,Reguler,6,No,2024-04,68500
Selesai,2024-04-02 05:47:00,COD (Bayar di Tempat),1,0,0,0.5,10000,0,27000,10000,Jawa Barat,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,37000
Batal,2024-04-08 16:05:00,SPayLater,3,0,0,0.6,0,0,0,34000,Banten,Food Storage & Packaging,Sistem Otomatis,Penjual tidak mengatur pengiriman tepat waktu,GrabExpress,Instant Delivery,3,No,2024-04,0
Selesai,2024-04-08 16:50:00,COD (Bayar di Tempat),1,0,0,0.2,78499,0,98239,78499,Sulawesi Utara,Kitchen & Dining,,,J&T,Reguler,1,No,2024-04,176738
Selesai,2024-04-08 19:15:00,Saldo ShopeePay,1,0,0,1.1,8000,0,50000,8000,Dki Jakarta,Other,,,SPX,Hemat,1,No,2024-04,58000
Selesai,2024-04-08 19:15:00,Saldo ShopeePay,1,0,0,1.1,8000,0,50000,8000,Dki Jakarta,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,58000
Selesai,2024-04-08 19:49:00,COD (Bayar di Tempat),2,1,0,4.0,16000,20000,130540,36000,Jawa Barat,Food Storage & Packaging,,,SPX,Hemat,1,No,2024-04,146540
Batal,2024-04-08 22:06:00,COD (Bayar di Tempat),1,0,0,0.7,0,0,0,40000,Sulawesi Selatan,Home Organization & Living,Pembeli,Perlu mengubah alamat pengiriman,J&T,Reguler,1,No,2024-04,0
Batal,2024-04-08 23:45:00,Online Payment,2,0,0,0.1,0,0,0,20000,Jawa Timur,Tools & Accessories,Pembeli,Ubah Pesanan yang Ada,SPX,Reguler,2,No,2024-04,0
Selesai,2024-04-09 00:00:00,Saldo ShopeePay,3,0,0,0.15,0,19500,121540,19500,Jawa Timur,Tools & Accessories,,,SPX,Hemat,3,No,2024-04,121540
Selesai,2024-04-09 00:22:00,COD (Bayar di Tempat),1,0,0,0.5,8000,0,29912,8000,Dki Jakarta,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,37912
Selesai,2024-04-09 01:45:00,SPayLater,1,0,0,1.0,8000,0,46147,8000,Jawa Barat,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,54147
Selesai,2024-04-09 02:45:00,Online Payment,1,0,0,0.5,8000,0,27000,8000,Banten,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,35000
Batal,2024-04-09 08:47:00,COD (Bayar di Tempat),2,0,0,0.4,0,0,0,33200,Lampung,Kitchen & Dining,Pembeli,Ubah Pesanan yang Ada,SPX,Hemat,2,No,2024-04,0
Selesai,2024-04-09 08:51:00,COD (Bayar di Tempat),2,0,0,0.4,3200,30000,35528,33200,Lampung,Kitchen & Dining,,,SPX,Hemat,2,No,2024-04,38728
Selesai,2024-04-09 09:14:00,Saldo ShopeePay,1,0,0,0.5,10000,0,28000,10000,Dki Jakarta,Home Organization & Living,,,SPX,Reguler,1,No,2024-04,38000
Selesai,2024-04-09 10:49:00,COD (Bayar di Tempat),1,0,0,0.7,8000,0,31000,8000,Jawa Barat,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,39000
Selesai,2024-04-09 12:30:00,Online Payment,2,0,0,1.0,8000,0,43800,8000,Dki Jakarta,Home Organization & Living,,,SPX,Hemat,2,No,2024-04,51800
Selesai,2024-04-09 12:54:00,Online Payment,1,0,0,0.5,8000,0,33000,8000,Jawa Barat,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,41000
Batal,2024-04-09 13:13:00,Online Payment,1,0,0,0.5,0,0,0,28500,Banten,Home Organization & Living,Pembeli,Lainnya/ berubah pikiran,SPX,Same Day Delivery,1,No,2024-04,0
Selesai,2024-04-09 13:18:00,Saldo ShopeePay,2,0,0,1.0,8000,0,48590,8000,Banten,Home Organization & Living,,,SPX,Hemat,2,No,2024-04,56590
Selesai,2024-04-09 14:56:00,COD (Bayar di Tempat),2,0,0,0.4,8000,0,40520,8000,Jawa Barat,Kitchen & Dining,,,SPX,Hemat,2,No,2024-04,48520
Batal,2024-04-09 21:08:00,COD (Bayar di Tempat),1,0,0,4.2,0,0,0,106000,Kalimantan Tengah,Home Organization & Living,Pembeli,Ubah Pesanan yang Ada,SPX,Pick Up Point,1,No,2024-04,0
Batal,2024-04-10 00:32:00,COD (Bayar di Tempat),1,0,0,1.4,0,0,0,16000,Banten,Home Organization & Living,Sistem Otomatis,Pengiriman gagal,SPX,Hemat,1,No,2024-04,0
Batal,2024-04-10 08:13:00,COD (Bayar di Tempat),1,0,0,0.7,0,0,0,16000,Jawa Tengah,Home Organization & Living,Pembeli,Lainnya/ berubah pikiran,SPX,Hemat,1,No,2024-04,0
Selesai,2024-04-10 11:24:00,Saldo ShopeePay,1,0,0,2.1,0,20000,81500,20000,Jawa Barat,Home Organization & Living,,,SPX,Reguler,1,No,2024-04,81500
Selesai,2024-04-10 11:24:00,Saldo ShopeePay,2,0,0,2.1,0,20000,81500,20000,Jawa Barat,Home Organization & Living,,,SPX,Reguler,2,No,2024-04,81500
Selesai,2024-04-10 11:24:00,Saldo ShopeePay,1,0,0,2.1,0,20000,81500,20000,Jawa Barat,Food Storage & Packaging,,,SPX,Reguler,1,No,2024-04,81500
Selesai,2024-04-10 11:40:00,COD (Bayar di Tempat),1,0,0,0.5,0,9500,19800,9500,Jawa Barat,Home Organization & Living,,,SPX,Reguler,1,No,2024-04,19800
Batal,2024-04-10 11:59:00,Saldo ShopeePay,2,0,0,3.0,0,0,0,17500,Banten,Home Organization & Living,Pembeli,Lainnya/ berubah pikiran,SPX,Same Day Delivery,2,No,2024-04,0
Selesai,2024-04-10 13:37:00,COD (Bayar di Tempat),1,0,0,0.5,4000,10000,25752,14000,Jawa Barat,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,29752
Selesai,2024-04-10 17:35:00,SPayLater,1,0,0,0.5,8000,0,29078,8000,Jawa Barat,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,37078
Selesai,2024-04-10 20:19:00,COD (Bayar di Tempat),1,0,0,0.5,9000,0,34280,9000,Jawa Barat,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,43280
Selesai,2024-04-11 00:45:00,COD (Bayar di Tempat),2,0,0,1.0,0,10000,42184,10000,Jawa Barat,Home Organization & Living,,,SPX,Reguler,2,No,2024-04,42184
Selesai,2024-04-11 00:47:00,Saldo ShopeePay,1,0,0,0.5,0,9500,12100,9500,Jawa Barat,Home Organization & Living,,,JNE,Reguler,1,No,2024-04,12100
Batal,2024-04-11 08:52:00,Saldo ShopeePay,1,0,0,0.05,0,0,0,18000,Jawa Tengah,Tools & Accessories,Sistem Otomatis,Lainnya,Platform Default,Hemat,1,No,2024-04,0
Selesai,2024-04-11 10:11:00,Saldo ShopeePay,1,0,0,0.5,8000,0,28800,8000,Dki Jakarta,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,36800
Selesai,2024-04-11 10:16:00,Online Payment,1,0,0,1.0,8000,0,43414,8000,Jawa Barat,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,51414
Selesai,2024-04-11 14:18:00,COD (Bayar di Tempat),1,0,0,0.6,101000,0,152840,101000,Kalimantan Timur,Kitchen & Dining,,,J&T,Reguler,1,No,2024-04,253840
Batal,2024-04-11 14:39:00,COD (Bayar di Tempat),1,0,0,0.5,0,0,0,16000,Jawa Tengah,Home Organization & Living,Pembeli,Lainnya/ berubah pikiran,SPX,Hemat,1,No,2024-04,0
Selesai,2024-04-11 15:24:00,COD (Bayar di Tempat),1,0,0,0.5,8000,0,29912,8000,Jawa Barat,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,37912
Batal,2024-04-11 17:42:00,Online Payment,1,0,0,0.3,0,0,0,9500,Jawa Barat,Other,Sistem Otomatis,Penjual gagal mengirimkan pesanan tepat waktu,SPX,Reguler,1,No,2024-04,0
Batal,2024-04-11 18:29:00,COD (Bayar di Tempat),1,0,0,0.5,0,0,0,20500,Jawa Tengah,Home Organization & Living,Sistem Otomatis,Pengiriman gagal,SPX,Reguler,1,No,2024-04,0
Selesai,2024-04-11 23:43:00,COD (Bayar di Tempat),1,0,0,1.0,8000,0,45200,8000,Dki Jakarta,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,53200
Selesai,2024-04-12 04:56:00,Saldo ShopeePay,2,0,0,1.0,8000,0,48600,8000,Jawa Barat,Home Organization & Living,,,SPX,Hemat,2,No,2024-04,56600
Batal,2024-04-12 05:44:00,Online Payment,1,0,0,8.145,0,0,0,39900,Jawa Timur,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,1,No,2024-04,0
Batal,2024-04-12 05:44:00,Online Payment,1,0,0,8.145,0,0,0,39900,Jawa Timur,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,1,No,2024-04,0
Batal,2024-04-12 05:44:00,Online Payment,5,0,0,8.145,0,0,0,39900,Jawa Timur,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,5,No,2024-04,0
Batal,2024-04-12 05:44:00,Online Payment,1,0,0,8.145,0,0,0,39900,Jawa Timur,Food Storage & Packaging,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,1,No,2024-04,0
Batal,2024-04-12 05:44:00,Online Payment,2,0,0,8.145,0,0,0,39900,Jawa Timur,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,2,No,2024-04,0
Batal,2024-04-12 05:44:00,Online Payment,3,0,0,8.145,0,0,0,39900,Jawa Timur,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,3,No,2024-04,0
Batal,2024-04-12 05:44:00,Online Payment,2,0,0,8.145,0,0,0,39900,Jawa Timur,Home Organization & Living,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,2,No,2024-04,0
Batal,2024-04-12 05:44:00,Online Payment,2,0,0,8.145,0,0,0,39900,Jawa Timur,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,2,No,2024-04,0
Batal,2024-04-12 05:44:00,Online Payment,1,0,0,8.145,0,0,0,39900,Jawa Timur,Food Storage & Packaging,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,1,No,2024-04,0
Batal,2024-04-12 05:44:00,Online Payment,2,0,0,8.145,0,0,0,39900,Jawa Timur,Food Storage & Packaging,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,2,No,2024-04,0
Batal,2024-04-12 05:44:00,Online Payment,1,0,0,8.145,0,0,0,39900,Jawa Timur,Tools & Accessories,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,1,No,2024-04,0
Batal,2024-04-12 09:30:00,COD (Bayar di Tempat),2,0,0,1.2,0,0,0,7500,Banten,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,SPX,Hemat,2,No,2024-04,0
Selesai,2024-04-12 09:32:00,COD (Bayar di Tempat),2,0,0,1.2,0,13000,94600,13000,Banten,Kitchen & Dining,,,SPX,Hemat,2,No,2024-04,94600
Batal,2024-04-12 12:45:00,COD (Bayar di Tempat),1,0,0,0.3,0,0,0,22000,Sulawesi Selatan,Home Organization & Living,Pembeli,Perlu mengubah alamat pengiriman,SPX,Pick Up Point,1,No,2024-04,0
Selesai,2024-04-12 13:04:00,Kartu Kredit/Debit,1,0,0,1.0,8000,0,45800,8000,Jawa Barat,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,53800
Selesai,2024-04-12 14:08:00,Saldo ShopeePay,1,0,0,1.0,0,36000,38300,36000,Sumatera Utara,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,38300
Batal,2024-04-12 15:42:00,COD (Bayar di Tempat),1,0,0,0.2,0,0,0,8000,Banten,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,SPX,Hemat,1,No,2024-04,0
Selesai,2024-04-12 16:15:00,Kartu Kredit/Debit,6,0,0,1.2,0,19000,83283,19000,Jawa Timur,Kitchen & Dining,,,SPX,Reguler,6,No,2024-04,83283
Selesai,2024-04-12 17:49:00,Saldo ShopeePay,1,0,0,0.5,0,9500,17674,9500,Banten,Home Organization & Living,,,SPX,Reguler,1,No,2024-04,17674
Selesai,2024-04-12 18:13:00,Saldo ShopeePay,1,0,0,0.5,8000,0,28800,8000,Banten,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,36800
Selesai,2024-04-12 18:16:00,Saldo ShopeePay,1,0,0,0.5,0,9500,20800,9500,Banten,Home Organization & Living,,,SPX,Reguler,1,No,2024-04,20800
Selesai,2024-04-12 20:44:00,COD (Bayar di Tempat),25,0,0,5.0,65000,20000,237278,85000,Jawa Barat,Kitchen & Dining,,,SPX,Hemat,25,No,2024-04,302278
Selesai,2024-04-12 20:45:00,Saldo ShopeePay,1,0,0,0.5,8000,0,25050,8000,Dki Jakarta,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,33050
Selesai,2024-04-12 21:23:00,COD (Bayar di Tempat),1,0,0,0.5,9000,0,30952,9000,Jawa Barat,Home Organization & Living,,,SPX,Hemat,1,No,2024-04,39952
Selesai,2024-04-13 02:53:00,SPayLater,1,0,0,0.5,9500,0,28270,9500,Jawa Barat,Home Organization & Living,,,SPX,Reguler,1,Yes,2024-04,37770
Selesai,2024-04-13 04:30:00,COD (Bayar di Tempat),1,0,0,0.5,8000,0,29912,8000,Dki Jakarta,Home Organization & Living,,,SPX,Hemat,1,Yes,2024-04,37912
Batal,2024-04-13 07:11:00,COD (Bayar di Tempat),1,0,0,0.3,0,0,0,20000,Jawa Timur,Bathroom & Cleaning,Pembeli,Lainnya/ berubah pikiran,SPX,Hemat,1,Yes,2024-04,0
Batal,2024-04-13 07:30:00,Saldo ShopeePay,1,0,0,8.01,0,0,0,39900,Jawa Timur,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,1,Yes,2024-04,0
Batal,2024-04-13 07:30:00,Saldo ShopeePay,1,0,0,8.01,0,0,0,39900,Jawa Timur,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,1,Yes,2024-04,0
Batal,2024-04-13 07:30:00,Saldo ShopeePay,5,0,0,8.01,0,0,0,39900,Jawa Timur,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,5,Yes,2024-04,0
Batal,2024-04-13 07:30:00,Saldo ShopeePay,1,0,0,8.01,0,0,0,39900,Jawa Timur,Food Storage & Packaging,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,1,Yes,2024-04,0
Batal,2024-04-13 07:30:00,Saldo ShopeePay,2,0,0,8.01,0,0,0,39900,Jawa Timur,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,2,Yes,2024-04,0
Batal,2024-04-13 07:30:00,Saldo ShopeePay,1,0,0,8.01,0,0,0,39900,Jawa Timur,Kitchen & Dining,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,1,Yes,2024-04,0
Batal,2024-04-13 07:30:00,Saldo ShopeePay,2,0,0,8.01,0,0,0,39900,Jawa Timur,Home Organization & Living,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,2,Yes,2024-04,0
Batal,2024-04-13 07:30:00,Saldo ShopeePay,1,0,0,8.01,0,0,0,39900,Jawa Timur,Food Storage & Packaging,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,1,Yes,2024-04,0
Batal,2024-04-13 07:30:00,Saldo ShopeePay,1,0,0,8.01,0,0,0,39900,Jawa Timur,Food Storage & Packaging,Pembeli,Perlu mengubah alamat pengiriman,JNE,Kargo,1,Yes,2024-04,0
Selesai,2024-04-13 07:39:00,SeaBank Bayar Instan,2,0,0,2.6,4000,20000,81881,24000,Dki Jakarta,Other,,,SPX,Hemat,2,Yes,2024-04,85881
Selesai,2024-04-13 07:39:00,SeaBank Bayar Instan,1,0,0,2.6,4000,20000,81881,24000,Dki Jakarta,Other,,,SPX,Hemat,1,Yes,2024-04,85881
Selesai,2024-04-13 07:39:00,SeaBank Bayar Instan,2,0,0,2.6,4000,20000,81881,24000,Dki Jakarta,Home Organization & Living,,,SPX,Hemat,2,Yes,2024-04,85881
Selesai,2024-04-13 08:08:00,Online Payment,1,0,0,7.0,0,20000,102000,20000,Banten,Other,,,GrabExpress,Instant Delivery,1,Yes,2024-04,102000
Batal,2024-04-13 08:15:00,COD (Bayar di Tempat),1,0,0,0.5,0,0,0,8000,Jawa Barat,Home Organization & Living,Pembeli,Ubah Pesanan yang Ada,SPX,Hemat,1,Yes,2024-04,0
Selesai,2024-04-13 10:15:00,COD (Bayar di Tempat),1,0,0,0.5,8000,0,30120,8000,Jawa Barat,Home Organization & Living,,,SPX,Hemat,1,Yes,2024-04,38120
Selesai,2024-04-13 11:27:00,Saldo ShopeePay,2,0,0,3.0,17500,0,123752,17500,Banten,Home Organization & Living,,,SPX,Same Day Delivery,2,Yes,2024-04,141252
Selesai,2024-04-13 13:11:00,COD (Bayar di Tempat),2,0,0,1.0,8000,0,44472,8000,Jawa Barat,Home Organization & Living,,,SPX,Hemat,2,Yes,2024-04,52472
Selesai,2024-04-13 13:42:00,SPayLater,1,0,0,1.5,18000,0,68660,18000,Jawa Barat,Home Organization & Living,,,SPX,Hemat,1,Yes,2024-04,86660
Selesai,2024-04-13 18:08:00,COD (Bayar di Tempat),1,0,0,0.5,16000,0,35216,16000,Jawa Barat,Home Organization & Living,,,SPX,Hemat,1,Yes,2024-04,51216
Selesai,2024-04-13 19:51:00,Saldo ShopeePay,1,0,0,0.5,0,10000,20800,10000,Jawa Barat,Home Organization & Living,,,SPX,Hemat,1,Yes,2024-04,20800
Selesai,2024-04-13 22:13:00,Saldo ShopeePay,1,0,0,0.5,10000,0,28090,10000,Dki Jakarta,Home Organization & Living,,,JNE,Reguler,1,Yes,2024-04,38090
Selesai,2024-04-13 22:36:00,SPayLater,1,0,0,0.5,4500,10000,25543,14500,Jawa Tengah,Home Organization & Living,,,SPX,Hemat,1,Yes,2024-04,30043
Selesai,2024-04-13 23:03:00,SPayLater,4,0,0,1.3,37300,0,119372,37300,Bengkulu,Kitchen & Dining,,,SPX,Hemat,4,Yes,2024-04,156672
Selesai,2024-04-13 23:03:00,SPayLater,1,0,0,1.3,37300,0,119372,37300,Bengkulu,Other,,,SPX,Hemat,1,Yes,2024-04,156672
Selesai,2024-04-13 23:03:00,SPayLater,1,0,0,1.3,37300,0,119372,37300,Bengkulu,Bathroom & Cleaning,,,SPX,Hemat,1,Yes,2024-04,156672
Selesai,2024-04-14 01:37:00,COD (Bayar di Tempat),2,0,0,0.4,22000,0,55080,22000,Jawa Tengah,Kitchen & Dining,,,SPX,Hemat,2,Yes,2024-04,77080
Selesai,2024-04-14 05:57:00,COD (Bayar di Tempat),1,0,0,0.5,8000,0,29912,8000,Banten,Home Organization & Living,,,SPX,Hemat,1,Yes,2024-04,37912
Selesai,2024-04-14 09:14:00,Online Payment,1,0,0,2.1,17500,0,57500,17500,Banten,Food Storage & Packaging,,,SPX,Same Day Delivery,1,Yes,2024-04,75000
Selesai,2024-04-14 09:14:00,Online Payment,2,0,0,2.1,17500,0,57500,17500,Banten,Kitchen & Dining,,,SPX,Same Day Delivery,2,Yes,2024-04,75000
Selesai,2024-04-14 09:37:00,Saldo ShopeePay,1,0,0,0.6,8000,0,25000,8000,Jawa Barat,Food Storage & Packaging,,,SPX,Hemat,1,Yes,2024-04,33000
